Indicator,Ocean,Date,Value
Change in mean sea level: Sea level: Trend,Adriatic Sea,D11/08/2022,2.32
Change in mean sea level: Sea level: Trend,Andaman Sea,D11/08/2022,3.69
Change in mean sea level: Sea level: Trend,Arabian Sea,D11/08/2022,3.59
Change in mean sea level: Sea level: Trend,Atlantic Ocean,D11/08/2022,3.19
Change in mean sea level: Sea level: Trend,Baltic Sea,D11/08/2022,4.31
Change in mean sea level: Sea level: Trend,Bay Bengal,D11/08/2022,3.79
Change in mean sea level: Sea level: Trend,Bering Sea,D11/08/2022,1.57
Change in mean sea level: Sea level: Trend,Caribbean Sea,D11/08/2022,3.29
Change in mean sea level: Sea level: Trend,Gulf Mexico,D11/08/2022,4.29
Change in mean sea level: Sea level: Trend,Indian Ocean,D11/08/2022,3.17
Change in mean sea level: Sea level: Trend,Indonesian,D11/08/2022,4.31
Change in mean sea level: Sea level: Trend,Mediterranean,D11/08/2022,2.4
Change in mean sea level: Sea level: Trend,Nino,D11/08/2022,3.19
Change in mean sea level: Sea level: Trend,North Atlantic,D11/08/2022,2.83
Change in mean sea level: Sea level: Trend,North Pacific,D11/08/2022,3.12
Change in mean sea level: Sea level: Trend,North Sea,D11/08/2022,3.23
Change in mean sea level: Sea level: Trend,Pacific Ocean,D11/08/2022,2.89
Change in mean sea level: Sea level: Trend,Persian Gulf,D11/08/2022,4.31
Change in mean sea level: Sea level: Trend,Sea Japan,D11/08/2022,3.14
Change in mean sea level: Sea level: Trend,Sea Okhotsk,D11/08/2022,2.01
Change in mean sea level: Sea level: Trend,South China,D11/08/2022,3.76
Change in mean sea level: Sea level: Trend,Southern Ocean,D11/08/2022,3.22
Change in mean sea level: Sea level: Trend,Tropics,D11/08/2022,3.11
Change in mean sea level: Sea level: Trend,World,D11/08/2022,3.07
Change in mean sea level: Sea level: Trend,Yellow Sea,D11/08/2022,2.75
